"Id","Position","First Name","Nickname","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","Tier","",""
"43204-15946","SF","Harrison","Harrison Barnes","Barnes","24.556248982747395","48","4100","LAL@SAC","SAC","LAL","","","","",""
"43204-9939","PG","Patty","Patty Mills","Mills","18.66595718708444","47","4100","CHA@SA","SA","CHA","","","","",""
"43204-9446","PG","Jeff","Jeff Teague","Teague","24.678048482755337","41","4100","ATL@DAL","ATL","DAL","","","","",""
"43204-110320","SF","Matisse","Matisse Thybulle","Thybulle","14.93170761480564","41","4100","PHI@BOS","PHI","BOS","","","","",""
"43204-110323","PF","Eric","Eric Paschall","Paschall","22.527273004705254","44","4100","GS@CLE","GS","CLE","","","","",""
"43204-15814","C","Alex","Alex Len","Len","20.2","40","4100","ATL@DAL","ATL","DAL","O","Hip","","",""
"43204-9758","SG","Danny","Danny Green","Green","19.193478791610055","46","4000","LAL@SAC","LAL","SAC","","","","",""
"43204-63127","C","Willy","Willy Hernangomez","Hernangomez","10.357894897460938","19","4000","CHA@SA","CHA","SA","","","","",""
"43204-84695","SG","Gary","Gary Trent","Trent","10.850000169542101","36","4000","UTA@POR","POR","UTA","","","","",""
"43204-84714","C","Moritz","Moritz Wagner","Wagner","22.828571137927828","21","4000","BKN@WAS","WAS","BKN","O","Ankle","","",""
"43204-9455","PG","Rajon","Rajon Rondo","Rondo","20.318750381469727","32","4000","LAL@SAC","LAL","SAC","","","","",""
"43204-23798","SG","Caris","Caris LeVert","LeVert","23.28636308149858","22","4000","BKN@WAS","BKN","WAS","","","","",""
"43204-110345","SF","Kevin","Kevin Porter","Porter","17.002702042863177","37","4000","GS@CLE","CLE","GS","","","","",""
"43204-80816","SG","Malik","Malik Monk","Monk","15.943478791610055","46","4000","CHA@SA","CHA","SA","","","","",""
"43204-112709","SG","Javonte","Javonte Green","Green","7.63243226747255","37","3900","PHI@BOS","BOS","PHI","","","","",""
"43204-70826","SG","Furkan","Furkan Korkmaz","Korkmaz","14.097916920979818","48","3900","PHI@BOS","PHI","BOS","","","","",""
"43204-81621","PF","Maxi","Maxi Kleber","Kleber","20.129786714594413","47","3900","ATL@DAL","DAL","ATL","","","","",""
"43204-110329","PF","Bruno","Bruno Fernando","Fernando","10.752381097702752","42","3900","ATL@DAL","ATL","DAL","GTD","Calf","","",""
"43204-16220","SF","Dion","Dion Waiters","Waiters","16.233333587646484","3","3900","MIA@ORL","MIA","ORL","","","","",""
"43204-9577","SF","Rudy","Rudy Gay","Gay","21.204545454545453","44","3900","CHA@SA","SA","CHA","","","","",""
"43204-18338","PF","Royce","Royce O'Neale","O'Neale","18.7937494913737","48","3900","UTA@POR","UTA","POR","","","","",""
"43204-16301","C","Dewayne","Dewayne Dedmon","Dedmon","13.151515151515152","33","3900","LAL@SAC","SAC","LAL","GTD","Illness","","",""
"43204-9654","SF","Vince","Vince Carter","Carter","11.085714431036086","42","3900","ATL@DAL","ATL","DAL","","","","",""
"43204-17384","C","Kyle","Kyle O'Quinn","O'Quinn","12.090475899832589","21","3900","PHI@BOS","PHI","BOS","","","","",""
"43204-15947","SG","Reggie","Reggie Bullock","Bullock","17.24666748046875","15","3800","NY@IND","NY","IND","GTD","Illness","","",""
"43204-41082","C","Damian","Damian Jones","Jones","14.149999445134943","44","3800","ATL@DAL","ATL","DAL","","","","",""
"43204-63124","PG","Emmanuel","Emmanuel Mudiay","Mudiay","14.316666376023065","42","3800","UTA@POR","UTA","POR","","","","",""
"43204-14529","PG","Cory","Cory Joseph","Joseph","16.858333587646484","48","3800","LAL@SAC","SAC","LAL","","","","",""
